Name,Rarity,Speed,FileName,ExportName,RedExportName,ShadowExportName,RedShadowExportName,ShadowDisableRotate,Scale,Homing,HitEffect,DeathEffect,Damage,CrownTowerDamagePercent,Pushback,PushbackAll,Radius,RadiusY,AoeToAir,AoeToGround,OnlyEnemies,OnlyOwnTroops,MaximumTargets,Gravity,SpawnAreaEffectObject,SpawnCharacterLevelIndex,SpawnCharacterDeployTime,SpawnCharacter,SpawnConstPriority,SpawnCharacterCount,TargetBuff,BuffTime,BuffTimeIncreasePerLevel,TrailEffect,ProjectileRadius,ProjectileRadiusY,ProjectileRange,use360Frames,HitSoundWhenParentAlive,SpawnProjectile,MinDistance,MaxDistance,ConstantHeight,HeightFromTargetRadius,Heal,CrownTowerHealPercent,TargetToEdge,ChainedHitRadius,ChainedHitEndEffect,PingpongDeathEffect,ShakesTargets,PingpongVisualTime,RandomAngle,RandomDistance,Scatter,DragBackSpeed,DragMargin,TargettedEffect
string,String,int,string,string,string,string,string,boolean,int,boolean,string,String,int,int,int,boolean,int,int,boolean,boolean,boolean,boolean,int,int,string,int,int,string,boolean,int,string,int,int,string,int,int,int,boolean,String,String,int,int,int,boolean,int,int,boolean,int,String,String,boolean,int,int,int,string,int,int,String
FireballSpell,Rare,600,sc/effects.sc,fireball_projectile1,,projectile_arrow_shadow,,,,,Fireball_explosion,,325,-60,1800,,2500,,TRUE,TRUE,TRUE,,,50,,,,,,,,,,FireballEmitter,,,,,,,,,,,,,,,,,,,,,,,,
KingProjectile,Common,1000,sc/effects.sc,projectile_cannonball_small,,,,,,TRUE,cannon_hit,,50,,,,,,,,TRUE,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArcherArrow,Common,600,sc/effects.sc,projectile_arrow_basic_enemy,,projectile_arrow_shadow,,,,TRUE,ArrowHit,,41,,,,,,,,TRUE,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TowerPrincessProjectile,Common,600,sc/effects.sc,projectile_arrow_basic_enemy,,projectile_arrow_shadow,,,,TRUE,ArrowHit,,50,,,,,,,,TRUE,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArrowsSpell,Common,800,sc/effects.sc,projectile_arrow_basic_enemy,,projectile_arrow_shadow,,,,TRUE,ArrowHitGround,,115,-60,,,4000,,TRUE,TRUE,TRUE,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArrowsSpellDeco,Common,800,sc/effects.sc,projectile_arrow_basic_enemy,,projectile_arrow_shadow,,,,TRUE,ArrowHitGround,,,,,,,,TRUE,TRUE,TRUE,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TowerCannonball,Common,1000,sc/effects.sc,projectile_cannonball_large,,projectile_arrow_shadow,,,,TRUE,cannon_hit,,60,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinionSpit,Common,1000,sc/effects.sc,projectile_cannonball_small,,projectile_arrow_shadow,,,,TRUE,ArrowHit,,40,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MortarProjectile,Common,300,sc/effects.sc,catapult_projectile1,,projectile_arrow_shadow,,,,,mortar_hit,,108,,,,2000,,,TRUE,TRUE,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WitchProjectile,Epic,600,sc/effects.sc,Tower_projectile1,,,,,,TRUE,WizardProjectileHit,,52,,,,1100,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BombSkeletonProjectile,Common,400,sc/effects.sc,projectile_bomb,,projectile_arrow_shadow,,,,,BombTower_projectile_hit,,128,,,,1500,,,TRUE,TRUE,,,200,,,,,,,,,,BomberBomb_fire_emitter,,,,,,,,,,,,,,,,,,,,,,,,
BombTowerProjectile,Rare,500,sc/effects.sc,projectile_bomb,,projectile_arrow_shadow,,,,,BombTower_projectile_hit,,100,,,,1500,,,TRUE,TRUE,,,200,,,,,,,,,,BomberBomb_fire_emitter,,,,,,,,,,,,,,,,,,,,,,,,
RocketSpell,Epic,350,sc/effects.sc,projectile_rocket,,projectile_shadow_rocket,,,,,Rocket_explosion,,9999,-90,1800,,8888,,TRUE,TRUE,TRUE,,,50,,,,,,,,,,Rocket_Emitter,,,,TRUE,,,,,,,,,,,,,,,,,,,,
GoblinBarrelSpell,Epic,400,sc/spell_goblin_barrel.sc,spell_goblin_barrel_projectile,,Barrel_shadow,,,,,goblin_barrel_explosion,,,,,,1500,,,TRUE,TRUE,,,40,,5,1200,Goblin,TRUE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MusketeerProjectile,Rare,1000,sc/effects.sc,projectile_cannonball_small,,projectile_arrow_shadow,,,,TRUE,cannon_hit,,100,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BabyDragonProjectile,Epic,500,sc/effects.sc,dragon_projectile,,projectile_arrow_shadow,,,,TRUE,dragon_hit,,100,,,,1200,,TRUE,TRUE,TRUE,,,250,,,,,,,,,,Dragon_Emitter,,,,,,,,,,,,,,,,,,,,,,,,
chr_wizardProjectile,Rare,600,sc/effects.sc,fireball_small,,,,,,TRUE,chr_wizard_projectile_hit,,130,,,,1200,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbow_projectile,Epic,1400,sc/effects.sc,projectile_arrow_basic,,projectile_arrow_shadow,,,,TRUE,ArrowHit,,166,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LighningSpell,Epic,500,,,,,,,,,Spell_lightning_effect,,650,-60,,,,,,,TRUE,,,,,,,,,,ZapFreeze,500,,,,,,,,,,,,,,,,,,,,,,,,,,
SpearGoblinProjectile,Common,500,sc/effects.sc,projectile_spear_360,,projectile_arrow_shadow,,,,TRUE,spear_goblin_projectile_hit,,24,,,,,,,,TRUE,,,150,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,
ice_wizardProjectile,Legendary,700,sc/effects.sc,ice_wizard_projectile,,,,,,TRUE,ice_wizard_hit,,63,,,,1000,,TRUE,TRUE,TRUE,,,50,,,,,,,IceWizardSlowDown,2000,,ice_wiz_emitter,,,,,,,,,,,,,,,,,,,,,,,,
RoyalGiantProjectile,Common,1000,sc/effects.sc,projectile_cannonball_large,,projectile_arrow_shadow,,,,TRUE,royal_giant_projectile_hit,,75,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PrincessProjectile,Legendary,450,sc/effects.sc,projectile_princess,,projectile_arrow_shadow,,,,,PrincessArrowHitGround,,1484,-75,,,2000,,TRUE,TRUE,TRUE,,,90,,,,,,,,,,PrincessArrowProjectileEmitter,,,,,sound_princess_hit_vo,,,,,,,,,,,,,,,,,,,
PrincessProjectileDeco,Legendary,450,sc/effects.sc,projectile_princess,,projectile_arrow_shadow,,,,,PrincessArrowHitGround,,,,,,,,,,TRUE,,,90,,,,,,,,,,PrincessArrowProjectileEmitter,,,,,,,,,,,,,,,,,,,,,,,,
LavaHoundProjectile,Legendary,400,sc/effects.sc,particle_coal1,,projectile_arrow_shadow,,,,TRUE,lava_hound_projectile_hit,,45,,,,,,TRUE,TRUE,TRUE,,,250,,,,,,,,,,lava_hound_Emitter,,,,,,,,,,,,,,,,,,,,,,,,
LavaPupProjectile,Legendary,500,sc/effects.sc,particle_coal1,,projectile_arrow_shadow,,,,TRUE,lava_pups_projectile_hit,,45,,,,,,TRUE,TRUE,TRUE,,,250,,,,,,,,,,lava_pups_emitter,,,,,,,,,,,,,,,,,,,,,,,,
FireSpiritsProjectile,Common,400,sc/effects.sc,projectile_firespirit,,projectile_arrow_shadow,,,,TRUE,firespirit_projectile_hit,,80,,,,1500,,TRUE,TRUE,TRUE,,,400,,,,,,,,,,PrincessArrowProjectileEmitter,,,,TRUE,,,,,,,,,,,,,,,,,,,,
ZapMachineProjectile,Legendary,1400,sc/effects.sc,zapMachine_projectile,,,,,,TRUE,zapmachine_projectile_hit,,1300,,,,1800,,,TRUE,TRUE,,,,,,,,,,,,,zapMachine_trail_emitter,,,,,,,,,,,,,,,,,,,,,,,,
NOTINUSE4,Legendary,400,sc/effects.sc,projectile_firespirit,,projectile_arrow_shadow,,,,TRUE,,,,,,,1500,,TRUE,TRUE,TRUE,,,400,,8,,FireSpirits,,,,,,PrincessArrowProjectileEmitter,,,,TRUE,,,,,,,,,,,,,,,,,,,,
BowlerProjectile,Epic,170,sc/effects.sc,bowler_projectile,,bowler_projectile_shadow,,TRUE,,,,bowler_projectile_die,180,,1000,,1800,,,TRUE,TRUE,,,,,,,,,,,,,bowler_projectile_trail,1000,,6000,,,,,,,,,,,,,,,,,,,,,
IceSpiritsProjectile,Common,400,sc/effects.sc,projectile_icespirit,,projectile_arrow_shadow,,,,TRUE,icespirit_projectile_hit,,45,,,,1500,,TRUE,TRUE,TRUE,,,400,,,,,,,Freeze,1500,,ice_wiz_emitter,,,,TRUE,,,,,,,,,,,,,,,,,,,,
LogProjectile,Legendary,360,sc/effects.sc,log_projectile,,log_projectile_shadow,,,,,log_hit,,,,,,1950,600,,TRUE,TRUE,,,30,,,,,,,,,,log_emitter,,,,,,LogProjectileRolling,3000,,,,,,,,,,,,,,,,,
LogProjectileRolling,Legendary,200,sc/effects.sc,log_roll_projectile,log_roll_projectile_red,log_projectile_shadow,,,,,log_hit,log_die,240,-60,1000,TRUE,,,,TRUE,TRUE,,,,,,,,,,,,,log_emitter,1950,600,11100,,,,2500,,,,,,,,,,,,,,,,,
MegaMinionSpit,Rare,1000,sc/effects.sc,projectile_cannonball_small,,projectile_arrow_shadow,,,,TRUE,mega_minion_hit,,147,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlowdartGoblinProjectile,Rare,800,sc/effects.sc,projectile_arrow_basic,,projectile_arrow_shadow,,,,TRUE,BlowdartArrowHit,,53,,,,,,,,TRUE,,,120,,,,,,,,,,BlowdartProjectileEmitter,,,,,,,,,,,,,,,,,,,,,,,,
